Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,496.6025042585
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,5460.4305086932
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,4468.45341883656
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,12886.1359517218
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,41257.8045846483
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,2189.85571407618
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,18896.3721832248
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,9955.97478680428
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,4597.22887399548
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,31096.2050738676
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,54972.7017885437
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,49885.9947355204
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,4805.75371765917
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,33640.3369861278
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,27259.7438599327
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,2129.79896954606
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,20583.7265786414
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,6837.77339645635
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,46716.6227467964
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,6190.04792278445
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1130.82135339795
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,115798.040775578
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,3576.87987100503
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3503.89601123129
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,6122.3753450882
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,7172.08956480028
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,9029.83326681073
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,30426.5730284202
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,10372.8044341114
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,764.853077774946
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,210.236494521532
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,4380.78117331128
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,2225.87705485686
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1555.22660476477
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,46352.8693445211
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,88254.2903677044
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,449.228467602439
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,893.336441643325
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,60568.108347955
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,14495.716721687
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,10342.9009524335
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,6472.54544924705
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,1519.26386326167
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,557.044161335917
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,2488.42466724916
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,12884.6859951947
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,2141.76836170115
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,15563.8167397199
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,9232.26115935183
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,19220.6865793075
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,29703.052734375
GDP per capita (current US$),NY.GDP.PCAP.CD,Czechia,CZE,24062.7190013343
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,59404.2663247723
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,2837.16902340932
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,9491.14995962374
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,8183.01623600375
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,6205.05765246766
GDP per capita (current US$),NY.GDP.PCAP.CD,"Egypt, Arab Rep.",EGY,2962.98892023003
GDP per capita (current US$),NY.GDP.PCAP.CD,El Salvador,SLV,4320.11671534627
GDP per capita (current US$),NY.GDP.PCAP.CD,Equatorial Guinea,GNQ,6804.14923073888
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,24021.2501413306
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,828.709080522921
GDP per capita (current US$),NY.GDP.PCAP.CD,Faroe Islands,FRO,63067.0695697911
GDP per capita (current US$),NY.GDP.PCAP.CD,Fiji,FJI,5950.82866866702
GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FIN,48358.1807773701
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,40408.2848574751
GDP per capita (current US$),NY.GDP.PCAP.CD,French Polynesia,PYF,21582.5892046801
GDP per capita (current US$),NY.GDP.PCAP.CD,Gabon,GAB,7441.1786472281
GDP per capita (current US$),NY.GDP.PCAP.CD,"Gambia, The",GMB,738.186751987483
GDP per capita (current US$),NY.GDP.PCAP.CD,Georgia,GEO,4741.2832715876
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,47623.8656074829
GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GHA,2186.65822682613
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,19335.3602002969
GDP per capita (current US$),NY.GDP.PCAP.CD,Greenland,GRL,53309.2035905065
